,file_path,file_class,file_duration,split,audio_start,audio_end
0,dataset/noise/road363.wav,noise,9.96,train,0.0,1.0
1,dataset/noise/road363.wav,noise,9.96,train,1.0,2.0
2,dataset/noise/road363.wav,noise,9.96,train,2.0,3.0
3,dataset/noise/road363.wav,noise,9.96,train,3.0,4.0
4,dataset/noise/road363.wav,noise,9.96,train,4.0,5.0
5,dataset/noise/road363.wav,noise,9.96,train,5.0,6.0
6,dataset/noise/road363.wav,noise,9.96,train,6.0,7.0
7,dataset/noise/road363.wav,noise,9.96,train,7.0,8.0
8,dataset/noise/road363.wav,noise,9.96,train,8.0,9.0
9,dataset/noise/road377.wav,noise,9.58,train,0.0,1.0
10,dataset/noise/road377.wav,noise,9.58,train,1.0,2.0
11,dataset/noise/road377.wav,noise,9.58,train,2.0,3.0
12,dataset/noise/road377.wav,noise,9.58,train,3.0,4.0
13,dataset/noise/road377.wav,noise,9.58,train,4.0,5.0
14,dataset/noise/road377.wav,noise,9.58,train,5.0,6.0
15,dataset/noise/road377.wav,noise,9.58,train,6.0,7.0
16,dataset/noise/road377.wav,noise,9.58,train,7.0,8.0
17,dataset/noise/road377.wav,noise,9.58,train,8.0,9.0
18,dataset/noise/road388.wav,noise,9.78,validation,0.0,1.0
19,dataset/noise/road388.wav,noise,9.78,validation,1.0,2.0
20,dataset/noise/road388.wav,noise,9.78,validation,2.0,3.0
21,dataset/noise/road388.wav,noise,9.78,validation,3.0,4.0
22,dataset/noise/road388.wav,noise,9.78,validation,4.0,5.0
23,dataset/noise/road388.wav,noise,9.78,validation,5.0,6.0
24,dataset/noise/road388.wav,noise,9.78,validation,6.0,7.0
25,dataset/noise/road388.wav,noise,9.78,validation,7.0,8.0
26,dataset/noise/road388.wav,noise,9.78,validation,8.0,9.0
27,dataset/noise/road45.wav,noise,9.24,train,0.0,1.0
28,dataset/noise/road45.wav,noise,9.24,train,1.0,2.0
29,dataset/noise/road45.wav,noise,9.24,train,2.0,3.0
30,dataset/noise/road45.wav,noise,9.24,train,3.0,4.0
31,dataset/noise/road45.wav,noise,9.24,train,4.0,5.0
32,dataset/noise/road45.wav,noise,9.24,train,5.0,6.0
33,dataset/noise/road45.wav,noise,9.24,train,6.0,7.0
34,dataset/noise/road45.wav,noise,9.24,train,7.0,8.0
35,dataset/noise/road45.wav,noise,9.24,train,8.0,9.0
36,dataset/noise/road161.wav,noise,4.61,train,0.0,1.0
37,dataset/noise/road161.wav,noise,4.61,train,1.0,2.0
38,dataset/noise/road161.wav,noise,4.61,train,2.0,3.0
39,dataset/noise/road161.wav,noise,4.61,train,3.0,4.0
40,dataset/noise/road175.wav,noise,9.23,train,0.0,1.0
41,dataset/noise/road175.wav,noise,9.23,train,1.0,2.0
42,dataset/noise/road175.wav,noise,9.23,train,2.0,3.0
43,dataset/noise/road175.wav,noise,9.23,train,3.0,4.0
44,dataset/noise/road175.wav,noise,9.23,train,4.0,5.0
45,dataset/noise/road175.wav,noise,9.23,train,5.0,6.0
46,dataset/noise/road175.wav,noise,9.23,train,6.0,7.0
47,dataset/noise/road175.wav,noise,9.23,train,7.0,8.0
48,dataset/noise/road175.wav,noise,9.23,train,8.0,9.0
49,dataset/noise/road51.wav,noise,5.77,train,0.0,1.0
50,dataset/noise/road51.wav,noise,5.77,train,1.0,2.0
51,dataset/noise/road51.wav,noise,5.77,train,2.0,3.0
52,dataset/noise/road51.wav,noise,5.77,train,3.0,4.0
53,dataset/noise/road51.wav,noise,5.77,train,4.0,5.0
54,dataset/noise/road79.wav,noise,10.93,train,0.0,1.0
55,dataset/noise/road79.wav,noise,10.93,train,1.0,2.0
56,dataset/noise/road79.wav,noise,10.93,train,2.0,3.0
57,dataset/noise/road79.wav,noise,10.93,train,3.0,4.0
58,dataset/noise/road79.wav,noise,10.93,train,4.0,5.0
59,dataset/noise/road79.wav,noise,10.93,train,5.0,6.0
60,dataset/noise/road79.wav,noise,10.93,train,6.0,7.0
61,dataset/noise/road79.wav,noise,10.93,train,7.0,8.0
62,dataset/noise/road79.wav,noise,10.93,train,8.0,9.0
63,dataset/noise/road79.wav,noise,10.93,train,9.0,10.0
64,dataset/noise/road149.wav,noise,7.11,test,0.0,1.0
65,dataset/noise/road149.wav,noise,7.11,test,1.0,2.0
66,dataset/noise/road149.wav,noise,7.11,test,2.0,3.0
67,dataset/noise/road149.wav,noise,7.11,test,3.0,4.0
68,dataset/noise/road149.wav,noise,7.11,test,4.0,5.0
69,dataset/noise/road149.wav,noise,7.11,test,5.0,6.0
70,dataset/noise/road149.wav,noise,7.11,test,6.0,7.0
71,dataset/noise/road86.wav,noise,7.81,train,0.0,1.0
72,dataset/noise/road86.wav,noise,7.81,train,1.0,2.0
73,dataset/noise/road86.wav,noise,7.81,train,2.0,3.0
74,dataset/noise/road86.wav,noise,7.81,train,3.0,4.0
75,dataset/noise/road86.wav,noise,7.81,train,4.0,5.0
76,dataset/noise/road86.wav,noise,7.81,train,5.0,6.0
77,dataset/noise/road86.wav,noise,7.81,train,6.0,7.0
